Timestamp,AO_Tool_x,AO_Tool_y,AO_Tool_z,DI_Machine_Bus_Aux3_RPDO1_boY46_HybLiftCylLoc,AI_UnderCar_Bus_SimSta1_u16Boom1Cur,AI_UnderCar_Bus_SimSta1_u16Boom2Cur,AI_Machine_Bus_Aux1_RPDO1_u16Y49_BoomLc,AI_UnderCar_Bus_SimSta3_u16Stick1Cur,AI_UnderCar_Bus_SimSta3_u16Stick1Cur_Y15,AI_UnderCar_Bus_SimSta3_u16Stick2Cur,AI_Machine_Bus_Aux1_RPDO1_u16Y50_StickLc,AI_PowerUnit_Bus_PU2_RPDO1_u16Y63_Swing,AO_UpperCarriage_Angle,AO_Boom_Angle,AO_Stick_Angle,AO_UpperCarriage_Omega,AO_Boom_Omega,AO_Stick_Omega,AO_Machine_Bus_Aux1_TPDO2_u16P6_LiftCylPres,AO_Machine_Bus_Aux1_TPDO2_u16P7_LiftRodPres,AO_Machine_Bus_Aux1_TPDO2_u16P12_HybCylPres,AO_Machine_Bus_Aux1_TPDO2_u16P13_HybRodPres,AO_StickCylPres,AO_StickRodPres,AO_TopRodPres,AO_PowerUnit_Bus_PU2_TPDO1_u16P4_SwingPresCcw,AO_PowerUnit_Bus_PU2_TPDO1_u16P5_SwingPresCw,AO_PowerUnit_Bus_PU1_TPDO1_u16E4_Pump3Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16C4_Pump32Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16D4_Pump4Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16B4_Pump42Pres,AO_PowerUnit_Bus_PU2_TPDO2_u16C4_Pump3Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16A4_Pump32Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16B4_Pump4Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16A3_Pump42Angle,AO_Engine_Bus_EEC1_u16EngSpeed
0.0,181.8128475066715,2.1659714931288327,3.693323388753278,0.0,763.0,763.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232862788119,5.052566632931835,-47.289559518742564,-2.1511558499039562e-05,0.21812540952583637,-0.205133455129144,7594.642901929781,4136.970112956774,5066.66668,12913.426490490267,56898.24880065733,13370.971160579316,56867.67756337989,4774.711160951112,4774.650113657003,7009.554057943095,7017.840709436276,7009.554057943095,7017.840709436276,2772.163086421418,2801.2819282336736,2772.163086421418,2801.2819282336736,14081.924221316336
0.006980419158935547,181.8128369327482,2.166784559297355,3.693309681049371,0.0,763.0,763.0,100.0,0.0,0.0,0.0,100.0,0.0,37.242328434001166,5.054587990025237,-47.2913601809992,-2.15811909193647e-05,0.23038413635578908,-0.19290064741730026,7562.173169965789,4127.358617122099,5066.66668,12866.333712817092,56943.852154841916,12955.81777041109,56911.84008794612,4774.711719188322,4774.649576869453,7157.312974892297,7164.182741522616,7157.312974892297,7164.182741522616,2769.748116850317,2783.155629202136,2769.748116850317,2783.155629202136,14069.8932062258
0.012965202331542969,181.81285834508387,2.16769229291182,3.6933380500350665,0.0,763.0,763.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232823925692,5.056700709503328,-47.292993044204486,-2.170492113418139e-05,0.23837071636527427,-0.16779352040366266,7528.285447321443,4121.857005516215,5066.66668,12817.185081473734,56984.6832250956,12581.323592163655,56952.620488820576,4774.7122761095925,4774.649041347279,7305.15198128025,7310.748804929126,7305.15198128025,7310.748804929126,2768.947235818336,2774.002058313761,2768.947235818336,2774.002058313761,14058.937066927907
0.019946575164794922,181.81292230780915,2.1686976125604787,3.693422392645653,0.0,774.0,774.0,100.0,0.0,0.0,0.0,100.0,0.0,37.2423280431357,5.058865145701944,-47.29434184463704,-2.1887294573942274e-05,0.24186398067437076,-0.1298438966135005,7493.616536470685,4119.133298070665,5066.66668,12766.90428287357,57017.79222826471,12274.39111071042,56987.13318363738,4774.712835724937,4774.648503234547,7452.8394081898,7457.663511462141,7452.8394081898,7457.663511462141,2767.1876874806317,2768.258347065981,2767.1876874806317,2768.258347065981,14048.713225375466
0.02592945098876953,181.8130387483584,2.1698021994959635,3.693575768281182,0.0,774.0,774.0,100.0,0.0,0.0,0.0,100.0,0.0,37.2423278451224,5.061041142661543,-47.295294371735444,-2.2122128196989194e-05,0.24112112593476415,-0.0802553897092438,7487.537252473263,4117.737452318489,5066.66668,12716.419141633196,57040.35817396898,12060.805235280866,57012.59094416399,4774.713401960865,4774.647958755621,7582.52055460482,7587.315201796349,7582.52055460482,7587.315201796349,2866.1720920177827,2901.2983040299837,2866.1720920177827,2901.2983040299837,14037.11289890223
0.03390932083129883,181.8132413073968,2.1711762593943646,3.6938424571097084,0.0,774.0,774.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232761811692,5.0634919573595205,-47.29580960654053,-2.2377288266931534e-05,0.239797755171122,-0.02129889226858853,7572.230000308711,4116.889915303842,5066.66668,12659.574656456867,57051.26458093642,11949.70572023464,57028.354809788856,4774.714054539132,4774.6473312519665,7759.466034152294,7763.1578769277585,7759.466034152294,7763.1578769277585,3063.1525272456706,3019.8280182036906,3063.1525272456706,3019.8280182036906,13989.308928713655
0.04089045524597168,181.8135205403486,2.172764955247354,3.6942100207948307,0.0,781.0,781.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232737603537,5.066118423297815,-47.29585539508582,-2.2378653713350553e-05,0.2498698430647689,0.0006677823123359974,7692.069265628659,4116.49191856659,5066.66668,12633.215712678548,57050.74074439924,11941.921779717886,57033.362020561246,4774.7147478351435,4774.646664595103,7926.23419760817,7932.021642692993,7926.23419760817,7932.021642692993,3136.165630974893,3074.2019605843475,3136.165630974893,3074.2019605843475,13925.22832367801
0.04787135124206543,181.81376957933804,2.1741747206493915,3.694537823316386,0.0,781.0,781.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232717528665,5.068438938743347,-47.29586760335537,-2.2226866625143596e-05,0.26642835577127777,-0.003810850302082312,7802.822230367495,4116.502758185585,5066.66668,12661.889473287032,57050.32022285922,11938.463533156315,57036.155685135505,4774.715309535522,4774.646124477454,8063.021741699136,8069.180303251167,8063.021741699136,8069.180303251167,3171.2780604311174,3104.6676796212914,3171.2780604311174,3104.6676796212914,13865.372200527569
0.053855180740356445,181.81405004872337,2.175779773651053,3.6949069827194183,0.0,781.0,781.0,100.0,0.0,0.0,0.0,100.0,0.0,37.24232696268328,5.071093249173568,-47.29591806807674,-2.2064916375881993e-05,0.2870961765326993,-0.006510034913492274,7927.010756544615,4116.743790984759,5066.66668,12681.526903359201,57051.05585984684,11926.413005486422,57039.22116544959,4774.715889533796,4774.645566764984,8205.580070329685,8213.024937282054,8205.580070329685,8213.024937282054,3194.315437926182,3128.4380311386362,3194.315437926182,3128.4380311386362,13797.513167343597
0.0608367919921875,181.8143504260613,2.1775103967058858,3.6953023280036685,0.0,781.0,781.0,100.0,0.0,0.0,0.0,100.0,0.0,37.242326751692076,5.073962695353609,-47.29599467011217,-2.188305360960634e-05,0.3115143023922055,-0.010512848817620535,8054.592129056473,4117.148671825043,5066.66668,12685.168072152745,57052.65774495243,11908.093704316325,57042.41609075693,4774.716449849454,4774.645027978848,8346.548668270323,8355.298125011075,8346.548668270323,8355.298125011075,3210.392947153152,3146.180216274865,3210.392947153152,3146.180216274865,13726.96710569071
