policy_loss,approxkl,clipfrac,value_loss,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,n_updates,explained_variance,serial_timesteps,fps
-0.0022558165,0.0029497966,0.029403687,1046.0034,0.0,1.4202796,8192,-1.305278849612791,1,0.002095818519592285,2048,4789
-0.0020048441,0.0020809772,0.017196655,157.83627,1.7114250659942627,1.4230053,16384,-0.8021170247642037,2,0.006568610668182373,4096,5026
-0.00045971957,0.00070364866,0.0028381348,426.3105,3.34206485748291,1.4205375,24576,-0.7338456101059386,3,0.016925275325775146,6144,5195
-0.00046052138,0.001893528,0.013671875,63.674732,4.919846773147583,1.423105,32768,-0.5881484113423704,4,0.020510852336883545,8192,5079
-0.00013950796,0.0022207145,0.015182495,190.30225,6.532535791397095,1.4243178,40960,-0.5337147545516985,5,0.03447532653808594,10240,5024
-0.0007279345,0.0012871025,0.00579834,338.46573,8.164051055908203,1.4253367,49152,-0.5234403598043236,6,0.0490536093711853,12288,5175
-0.0013366129,0.0013769707,0.010284424,133.76904,9.746819972991943,1.4238837,57344,-0.48484143800180757,7,0.06576794385910034,14336,5076
-0.0015891681,0.0015691828,0.0059509277,49.28652,11.3605055809021,1.4183788,65536,-0.43931567248543885,8,0.08762693405151367,16384,5061
-0.00076426886,0.0008845701,0.0032653809,203.84631,12.980045080184937,1.4186893,73728,-0.42771033034478306,9,0.10494500398635864,18432,5019
-0.00040846624,0.0019783373,0.012496948,1177.4348,14.612029314041138,1.4219472,81920,-0.5048480885998977,10,0.1192711591720581,20480,5092
-0.0012066662,0.0015927328,0.007156372,104.80441,16.220728874206543,1.4252297,90112,-0.3955840538920473,11,0.14878839254379272,22528,5033
-0.0015627618,0.0013440769,0.0055236816,89.749084,17.84837794303894,1.4264883,98304,-0.3858808785780819,12,0.1714457869529724,24576,4980
-0.001261316,0.0011922094,0.0064849854,63.85127,19.494174003601074,1.4276818,106496,-0.3414514744196958,13,0.17877382040023804,26624,5048
9.929993e-05,0.00038200663,0.0026397705,108.966034,21.116836071014404,1.427956,114688,-0.3495595299689679,14,0.18638306856155396,28672,5039
-0.0011592271,0.0013627205,0.0033416748,90.615074,22.7424898147583,1.42951,122880,-0.33694061609888115,15,0.23798739910125732,30720,5064
-0.00079738745,0.001706701,0.010543823,609.6907,24.361162424087524,1.4351884,131072,-0.35514091478059584,16,0.21429938077926636,32768,5023
-0.0001424794,0.0006639233,0.0021972656,1789.344,25.991803407669067,1.4362258,139264,-0.520796674160658,17,0.15609735250473022,34816,5114
3.9784572e-06,0.0013954989,0.010238647,1721.2026,27.59352135658264,1.4351206,147456,-0.6971308092676042,18,0.17373937368392944,36864,5133
-0.001146714,0.0008881193,0.0036315918,63.4698,29.189255475997925,1.435876,155648,-0.6776316525899506,19,0.3065871000289917,38912,5127
-0.0012457455,0.00076321576,0.0028686523,71.27601,30.787981033325195,1.4407499,163840,-0.572166365554942,20,0.32424747943878174,40960,5060
-0.000555392,0.00046323426,0.0019836426,196.70248,32.4076874256134,1.4459275,172032,-0.5802707649309582,21,0.30682116746902466,43008,5072
-8.66644e-05,0.000460134,0.0007019043,1336.9314,34.02369022369385,1.450582,180224,-0.7019665828517745,22,0.29324406385421753,45056,4966
-0.0016140938,0.0007964873,0.003768921,50.31974,35.67427706718445,1.4502604,188416,-0.7004566411629416,23,0.37575584650039673,47104,5124
-0.0019942345,0.0014131209,0.0074310303,138.73134,37.27301049232483,1.4496799,196608,-0.7041941840776115,24,0.33329904079437256,49152,5156
-0.00054736284,0.0009906488,0.003982544,743.9937,38.86176300048828,1.4502213,204800,-0.7640956402937433,25,0.32312309741973877,51200,5165
-0.0008183103,0.0014366948,0.010192871,263.26306,40.44752335548401,1.4476413,212992,-0.7420877270230728,26,0.3699008822441101,53248,4976
-0.002865572,0.0011992828,0.008712769,56.630013,42.09467029571533,1.4477661,221184,-0.5654305554698305,27,0.4362819790840149,55296,4993
-0.0015175379,0.0023836354,0.02078247,1665.7634,43.735284090042114,1.4531534,229376,-0.555515035859363,28,0.23130959272384644,57344,5156
-0.00031535744,0.0007727019,0.002090454,36.9003,45.32403755187988,1.4537569,237568,-0.5536891591135401,29,0.4296327829360962,59392,5143
-9.6444084e-05,0.0022595073,0.018722534,3260.0916,46.91677951812744,1.4545866,245760,-0.8926892412200538,30,0.25530070066452026,61440,5131
-0.0019697733,0.0029641602,0.029647827,55.68742,48.513139486312866,1.4548972,253952,-0.8775710044568978,31,0.4670873284339905,63488,4984
