Timestamp,AO_Tool_x,AO_Tool_y,AO_Tool_z,AI_UnderCar_Bus_SimSta1_u16Boom1Cur,AI_Machine_Bus_Aux1_RPDO1_u16Y49_BoomLc,AI_UnderCar_Bus_SimSta3_u16Stick1Cur,AI_Machine_Bus_Aux1_RPDO1_u16Y50_StickLc,AI_PowerUnit_Bus_PU2_RPDO1_u16Y63_Swing,AO_UpperCarriage_Angle,AO_Boom_Angle,AO_Stick_Angle,AO_UpperCarriage_Omega,AO_Boom_Omega,AO_Stick_Omega,AO_Machine_Bus_Aux1_TPDO2_u16P6_LiftCylPres,AO_Machine_Bus_Aux1_TPDO2_u16P7_LiftRodPres,AO_Machine_Bus_Aux1_TPDO2_u16P12_HybCylPres,AO_Machine_Bus_Aux1_TPDO2_u16P13_HybRodPres,AO_StickCylPres,AO_StickRodPres,AO_TopRodPres,AO_PowerUnit_Bus_PU2_TPDO1_u16P4_SwingPresCcw,AO_PowerUnit_Bus_PU2_TPDO1_u16P5_SwingPresCw,AO_PowerUnit_Bus_PU1_TPDO1_u16E4_Pump3Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16C4_Pump32Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16D4_Pump4Pres,AO_PowerUnit_Bus_PU1_TPDO1_u16B4_Pump42Pres,AO_PowerUnit_Bus_PU2_TPDO2_u16C4_Pump3Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16A4_Pump32Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16B4_Pump4Angle,AO_PowerUnit_Bus_PU2_TPDO2_u16A3_Pump42Angle,AO_Engine_Bus_EEC1_u16EngSpeed
0.0,181.81300420775395,2.1618439147688253,3.6935107663116025,375.0,100.0,0.0,100.0,0.0,37.24234666550955,5.041979343641486,-47.279481778920065,-1.7529295570776426e-05,-0.0005217176506409681,-0.003629178197955959,7766.276112315897,4964.7954123847785,5066.66668,13162.361484935303,56634.01116327326,15732.18477373889,56631.55434685207,4774.704500914616,4774.65651778883,4906.626864941435,4906.626864940136,4906.626864941435,4906.626864940136,2510.4715487836165,2510.4715487743133,2510.4715487836165,2510.4715487743133,14335.074622460366
0.0059999999999860165,181.81300104455136,2.1618369729962232,3.6935067144109173,375.0,100.0,0.0,100.0,0.0,37.242346560537115,5.041976219426744,-47.27950349432646,-1.7463630064510133e-05,-0.00051898380811511,-0.0036109161541718767,7766.326103910926,4964.777679344426,5066.66668,13162.433984092262,56634.55711715004,15727.158617903062,56632.10633539442,4774.7047470841135,4774.656281078129,4906.626864951247,4906.626864950064,4906.626864951247,4906.626864950064,2510.4715604592743,2510.4715604450944,2510.4715604592743,2510.4715604450944,14335.058640582956
0.012599999999970635,181.81299758367982,2.161829378470804,3.6935022814382634,375.0,100.0,0.0,100.0,0.0,37.24234644547651,5.041972801879062,-47.27952725329197,-1.7405605483866014e-05,-0.0005159313435738059,-0.003590379056301684,7766.380788548113,4964.758281588067,5066.66668,13162.51328918164,56635.154386447466,15721.659553984624,56632.71042447968,4774.705011894713,4774.65602644259,4906.626864966739,4906.6268649656695,4906.626864966739,4906.6268649656695,2510.4715724745847,2510.4715724551916,2510.4715724745847,2510.4715724551916,14335.042193090474
0.01859999999995665,181.81299383091456,2.1618211440938833,3.693497474982367,375.0,100.0,0.0,100.0,0.0,37.24234632033709,5.041969096830805,-47.279553015670366,-1.7357923467482432e-05,-0.0005125415100483399,-0.0035674272529656902,7766.440072644164,4964.737252310165,5066.66668,13162.59926448024,56635.80194291461,15715.696900484265,56633.36564029767,4774.705294550466,4774.655754647578,4906.626864988977,4906.626864988012,4906.626864988977,4906.626864988012,2510.4715845597816,2510.4715845351348,2510.4715845597816,2510.4715845351348,14335.025648373985
0.02579999999993987,181.81299072209683,2.1618143232886986,3.6934934936931683,437.0,100.0,0.0,100.0,0.0,37.24234621627963,5.04196602809656,-47.27957435667417,-1.732952038109579e-05,-0.0005096661665298837,-0.0035478574977526947,7766.489174409631,4964.719834911935,5066.66668,13162.670473070288,56636.33830298828,15710.757650975753,56633.90856038917,4774.705525795013,4774.655532288351,4906.62686501137,4906.626865010513,4906.62686501137,4906.626865010513,2510.47159379698,2510.4715937683654,2510.47159379698,2510.4715937683654,14335.013001287576
0.03239999999992449,181.81298732220526,2.1618068645736273,3.693489140169252,437.0,100.0,0.0,100.0,0.0,37.242346101978406,5.041962672591601,-47.279597694661206,-1.73089714319087e-05,-0.0005064483797114477,-0.0035258598301687732,7766.542863893705,4964.700790155031,5066.66668,13162.748334847241,56636.92478660071,15705.35630272479,56634.502448514126,4774.705776273522,4774.655291434208,4906.626865039784,4906.626865039035,4906.626865039784,4906.626865039035,2510.471603070387,2510.4716030376153,2510.471603070387,2510.4716030376153,14335.000303659828
0.03899999999990911,181.81298333147117,2.161798110710791,3.6934840309087953,437.0,100.0,0.0,100.0,0.0,37.24234596702181,5.041958734658017,-47.27962508637252,-1.729740969832734e-05,-0.0005025694526585323,-0.0034992199128292462,7766.605871364092,4964.678440115751,5066.66668,13162.839709743179,56637.61304881861,15699.016885253854,56635.1997195367,4774.706067808086,4774.655011101544,4906.626865078021,4906.626865077419,4906.626865078021,4906.626865077419,2510.471612823983,2510.4716127868537,2510.471612823983,2510.4716127868537,14334.98694696585
0.04679999999989093,181.81297997831678,2.16179075636364,3.6934797387266514,437.0,100.0,0.0,100.0,0.0,37.242345852864936,5.041955426423347,-47.279648099764,-1.7296858042167488e-05,-0.0004992215293466684,-0.0034761293196265077,7766.658802595859,4964.659664322249,5066.66668,13162.916471802722,56638.19121931635,15693.690875150452,56635.78573422185,4774.706311277111,4774.654776987552,4906.626865114078,4906.62686511355,4906.626865114078,4906.62686511355,2510.471620058834,2510.471620018188,2510.471620058834,2510.471620018188,14334.97703822405
0.05339999999987555,181.81297664728646,2.1617834514692316,3.693475475672667,437.0,100.0,0.0,100.0,0.0,37.24234573868777,5.041952140488899,-47.279670959089884,-1.7303335365342606e-05,-0.0004958122134599409,-0.0034525306266350382,7766.711376113868,4964.641015414767,5066.66668,13162.992715059196,56638.765444960074,15688.40062173719,56636.36800977011,4774.706552248972,4774.654545274775,4906.626865152983,4906.626865152585,4906.626865152983,4906.626865152585,2510.471626368821,2510.4716263254318,2510.471626368821,2510.4716263254318,14334.968394200858
0.059399999999861564,181.81297333883464,2.1617761970596234,3.6934712423872647,490.0,100.0,0.0,100.0,0.0,37.242345624448404,5.04194887726322,-47.279693660982076,-1.7315475463632336e-05,-0.0004923405081968431,-0.003428419351163458,7766.763585365539,4964.622495717399,5066.66668,13163.068430009378,56639.335640046964,15683.146905619618,56636.94646315931,4774.7067910677715,4774.654315632328,4906.626865194504,4906.626865194184,4906.626865194504,4906.626865194184,2510.4716317694856,2510.4716317233174,2510.4716317694856,2510.4716317233174,14334.960994820682
